Dynamic Supplier Code,Name,Reseller Price Ex GST,Manufacturer,Category,Weight,Manufacturer OEM Code,Printer Compatibility,Cartridge Yield,Cartridge Type,/////,////,Length,Width,Height,Brisbane,Melbourne,Perth,Adelaide,Sydney,Barcode
B133C,Brother LC133 Cyan Ink Cart,20.58,Brother,CON-INK,0.055,LC-133C,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFCJ6920DW,BROTHER DCPJ152W,BROTHER MFCJ870DW,BROTHER DCPJ172W,BROTHER MFC J475DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFC J6720DW,BROTHER MFC J6520DW,BROTHER MFC J650DW,BROTHER DPCJ552DW,BROTHER DPCJ752DW,BROTHER",up to 600 pages,Cyan,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B133CMY,Brother LC133 CMY Colour Pack,57.26,Brother,CON-INK,0.15,LC-133CL3PK,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFCJ6920DW,BROTHER DCPJ152W,BROTHER MFCJ870DW,BROTHER DCPJ172W,BROTHER MFC J475DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFC J6720DW,BROTHER MFC J6520DW,BROTHER MFC J650DW,BROTHER DPCJ552D,BROTHER DPCJ752D,BROTHER",up to 600 pages per colour,Misc Consumables,0.00057,BRO-INK-AU,0.12,0.095,0.05,>5,>5,>5,>5,>5,4.97777E+12
B133M,Brother LC133 Magenta Ink Cart,20.58,Brother,CON-INK,0.055,LC-133M,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFCJ6920DW,BROTHER DCPJ152W,BROTHER MFCJ870DW,BROTHER DCPJ172W,BROTHER MFC J475DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFC J6720DW,BROTHER MFC J6520DW,BROTHER MFC J650DW,BROTHER DPCJ552D,BROTHER DPCJ752D,BROTHER",up to 600 pages,Magenta,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B133PVP,Brother LC133 Photo Value Pack,92.38,Brother,CON-INK,0.433,LC-133PVP,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFCJ6920DW,BROTHER DCPJ152W,BROTHER MFCJ870DW,BROTHER DCPJ172W,BROTHER MFC J475DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFC J6720DW,BROTHER MFC J6520DW,BROTHER MFC J650DW,BROTHER DPCJ552D,BROTHER DPCJ752D,BROTHER",up to 600 pages per colour,Misc Consumables,0.00212,BRO-INK-AU,0.16,0.115,0.115,>5,>5,>5,>5,>5,4.97777E+12
B133Y,Brother LC133 Yellow Ink Cart,20.58,Brother,CON-INK,0.055,LC-133Y,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFCJ6920DW,BROTHER DCPJ152W,BROTHER MFCJ870DW,BROTHER DCPJ172W,BROTHER MFC J475DW,BROTHER MFCJ245,BROTHER MFCJ470DW,BROTHER MFCJ475DW,BROTHER MFC J6720DW,BROTHER MFC J6520DW,BROTHER MFC J650DW,BROTHER DPCJ552D,BROTHER DPCJ752D,BROTHER",up to 600 pages,Yellow,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B135XLC,Brother LC135XL Cyan Ink Cart,25.35,Brother,CON-INK,0.06,LC-135XLC,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFC J6920DW,BROTHER MFC J6520DW,BROTHER MFC J6720DW",up to 1200 pages,Cyan,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B135XLCMY,Brother LC135XL CMY Colour Pk,70.56,Brother,CON-INK,0.163,LC-135XLCL3PK,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFC J6920DW,BROTHER MFC J6520DW,BROTHER MFC J6720DW",up to 1200 pages per colour,Misc Consumables,0.00057,BRO-INK-AU,0.12,0.095,0.05,0,0,0,0,0,4.97777E+12
B135XLM,Brother LC135XL Mag Ink Cart,25.35,Brother,CON-INK,0.06,LC-135XLM,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFC J6920DW,BROTHER MFC J6520DW,BROTHER MFC J6720DW",up to 1200 pages,Magenta,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B135XLY,Brother LC135XL Yell Ink Cart,25.35,Brother,CON-INK,0.06,LC-135XLY,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW,BROTHER MFC J6920DW,BROTHER MFC J6520DW,BROTHER MFC J6720DW",up to 1200 pages,Yellow,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B137XLB,Brother LC137XL Black Ink Cart,39.62,Brother,CON-INK,0.083,LC-137XLBK,"BROTHER DCP J4110DW,BROTHER MFC J4410DW,BROTHER MFC J4510DW,BROTHER MFC J4710DW",up to 1200 pages,Black,0.00038,BRO-INK-AU,0.14,0.09,0.03,>5,>5,>5,>5,>5,4.97777E+12
B139XLB,Brother LC139XL Black Ink Cart,37.26,Brother,CON-INK,0.13,LC-139XLBK,"BROTHER MFC J6520DW,BROTHER MFC J6720DW,BROTHER MFC J6920DW",up to 2400 pages,Black,0.00063,BRO-INK-AU,0.09,0.05,0.14,>5,>5,>5,>5,>5,4.97777E+12
B201,Brother PC201 Cartridge,37.67,Brother,CON-FAX,0.762,PC-201,"BROTHER FAX 1010,BROTHER FAX 1020,BROTHER FAX 1025,BROTHER FAX 1030,BROTHER FAX 1080,BROTHER FAX 1170,BROTHER FAX 1270,BROTHER FAX 1570,BROTHER MFC 1770,BROTHER MFC 1780,BROTHER MFC 1870,BROTHER MFC 1970MC,BROTHER BF70",450 pages,Fax Film,0.00501,BRO-FAX,0.19,0.314,0.084,>5,>5,>5,>5,>5,4.97777E+12
B202,Brother PC202 Refill Roll,64.97,Brother,CON-FAX,0.865,PC-202RF,"BROTHER FAX 1010,BROTHER FAX 1020,BROTHER FAX 1025,BROTHER FAX 1030,BROTHER FAX 1080,BROTHER FAX 1170,BROTHER FAX 1270,BROTHER FAX 1570,BROTHER MFC 1770,BROTHER MFC 1780,BROTHER MFC 1870,BROTHER MFC 1970MC,BROTHER BF70",420 pages each,Fax Film,0.00155,BRO-FAX,0.233,0.123,0.054,>5,>5,>5,5,>5,4.97766E+12
B231B,Brother LC231 Black Ink Cart,22.88,Brother,CON-INK,0.06,LC-231BKS,"BROTHER DCPJ562DW,BROTHER MFCJ480DW,BROTHER MFCJ680DW,BROTHER MFCJ880DW",Up to 260 pages,Black,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B231C,Brother LC231 Cyan Ink Cart,12.96,Brother,CON-INK,0.055,LC-231CS,"BROTHER DCPJ562DW,BROTHER MFCJ480DW,BROTHER MFCJ680DW,BROTHER MFCJ880DW",Up to 260 pages,Cyan,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B231M,Brother LC231 Magenta Ink Cart,12.96,Brother,CON-INK,0.055,LC-231MS,"BROTHER DCPJ562DW,BROTHER MFCJ480DW,BROTHER MFCJ680DW,BROTHER MFCJ880DW",Up to 260 pages,Magenta,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B231Y,Brother LC231 Yellow Ink Cart,12.96,Brother,CON-INK,0.055,LC-231YS,"BROTHER DCPJ562DW,BROTHER MFCJ480DW,BROTHER MFCJ680DW,BROTHER MFCJ880DW",Up to 260 pages,Yellow,0.00025,BRO-INK-AU,0.14,0.09,0.02,>5,>5,>5,>5,>5,4.97777E+12
B233B,Brother LC233 Black Ink Cart,31.29,Brother,CON-INK,0.064,LC-233BK,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW,BROTHER MFC J880DW,BROTHER MFCJ680DW,BROTHER DCPJ562DW",Up to 550 pages,Black,0.00042,BRO-INK-AU,0.1,0.03,0.14,>5,>5,>5,>5,>5,4.97777E+12
B233C,Brother LC233 Cyan Ink Cart,20.59,Brother,CON-INK,0.064,LC-233C,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW,BROTHER MFC J880DW,BROTHER MFCJ680DW,BROTHER DCPJ562DW",Up to 550 pages,Cyan,0.00042,BRO-INK-AU,0.1,0.03,0.14,>5,>5,>5,>5,>5,4.97777E+12
B233CMY,Brother LC233 CMY Colour Pack,57.24,Brother,CON-INK,0.143,LC-233CL3PK,"BROTHER DCP J4120DW,BROTHER MFC J4620DW,BROTHER MFC J5320DW,BROTHER MFC J5720DW,BROTHER MFC J880DW,BROTHER MFCJ680DW,BROTHER DCPJ562DW",Up to 550 pages each,Misc Consumables,0.0007,BRO-INK-AU,0.1,0.05,0.14,>5,>5,>5,>5,>5,4.97777E+12
